REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (13): Population, 2021 [1]",Symbols,"Population and dwelling counts (13): Population, 2016 [2]",Symbols.1,"Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]",Symbols.2,"Population and dwelling counts (13): Total private dwellings, 2021 [4]",Symbols.3,"Population and dwelling counts (13): Total private dwellings, 2016 [5]",Symbols.4,"Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]",Symbols.5,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]",Symbols.6,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]",Symbols.7,"Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]",Symbols.8,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",Symbols.9,"Population and dwelling counts (13): Population density per square kilometre, 2021 [11]",Symbols.10,"Population and dwelling counts (13): National population rank, 2021 [12]",Symbols.11,"Population and dwelling counts (13): Province/territory population rank, 2021 [13]",Symbols.12
2021-01-01,Daniel's Harbour,2021A00051009015,328,220,,253,,-13.0,,152,,168,,-9.5,,114,,119,,-4.2,,7.68,,28.6,,3784,,254,
2021-01-01,"Division No.  9, Subd. A",2021A00051009009,329,183,,121,,51.2,,650,,573,,13.4,,97,,68,,42.6,,1726.94,,0.1,,3917,,275,
2021-01-01,"Division No.  9, Subd. C",2021A00051009021,330,2220,,2529,,-12.2,,1220,,1249,,-2.3,,991,,1066,,-7.0,,1842.14,,1.2,,1297,,34,
2021-01-01,"Division No.  9, Subd. D",2021A00051009031,331,534,,643,,-17.0,,547,,558,,-2.0,,266,,291,,-8.6,,939.74,,0.6,,2863,,151,
2021-01-01,"Division No.  9, Subd. F",2021A00051009001,332,81,,71,,14.1,,254,,297,,-14.5,,42,,32,,31.3,,4933.82,,0.0,,4344,,335,
2021-01-01,"Division No.  9, Subd. G",2021A00051009047,333,96,,41,,134.1,,139,,148,,-6.1,,43,,20,,115.0,,1256.12,,0.1,,4276,,328,
2021-01-01,"Division No.  9, Subd. H",2021A00051009041,334,155,,159,,-2.5,,250,,221,,13.1,,74,,76,,-2.6,,2096.29,,0.1,,4033,,292,
2021-01-01,Englee,2021A00051009004,335,489,,527,,-7.2,,257,,260,,-1.2,,215,,216,,-0.5,,28.82,,17.0,,2967,,163,
2021-01-01,Flower's Cove,2021A00051009024,336,272,,270,,0.7,,144,,133,,8.3,,119,,110,,8.2,,6.77,,40.2,,3604,,233,
2021-01-01,Glenburnie-Birchy Head-Shoal Brook,2021A00051009030,337,241,,224,,7.6,,182,,189,,-3.7,,111,,102,,8.8,,6.52,,36.9,,3718,,247,
2021-01-01,Goose Cove East,2021A00051009039,338,172,,174,,-1.1,,87,,79,,10.1,,70,,69,,1.4,,2.71,,63.5,,3968,,284,
2021-01-01,Hawke's Bay,2021A00051009018,339,297,,315,,-5.7,,162,,167,,-3.0,,142,,139,,2.2,,46.41,,6.4,,3519,,221,
2021-01-01,Main Brook,2021A00051009028,340,246,,243,,1.2,,180,,155,,16.1,,118,,117,,0.9,,28.00,,8.8,,3696,,244,
2021-01-01,Norris Point,2021A00051009012,341,602,,670,,-10.1,,351,,356,,-1.4,,263,,282,,-6.7,,4.84,,124.4,,2714,,125,
2021-01-01,Parson's Pond,2021A00051009017,342,368,,345,,6.7,,216,,207,,4.3,,177,,157,,12.7,,12.34,,29.8,,3290,,195,
2021-01-01,Port Saunders,2021A00051009019,343,678,,674,,0.6,,319,,312,,2.2,,284,,281,,1.1,,38.50,,17.6,,2567,,112,
2021-01-01,Port au Choix,2021A00051009022,344,742,,789,,-6.0,,395,,408,,-3.2,,360,,363,,-0.8,,35.56,,20.9,,2455,,100,
2021-01-01,Raleigh,2021A00051009035,345,150,,177,,-15.3,,108,,102,,5.9,,75,,84,,-10.7,,11.27,,13.3,,4055,,294,
2021-01-01,River of Ponds,2021A00051009048,346,173,,215,,-19.5,,128,,138,,-7.2,,85,,96,,-11.5,,4.46,,38.8,,3964,,283,
2021-01-01,Rocky Harbour,2021A00051009013,347,937,,947,,-1.1,,556,,523,,6.3,,436,,428,,1.9,,12.08,,77.6,,2197,,84,
2021-01-01,Roddickton-Bide Arm,2021A00051009007,348,928,,999,,-7.1,,422,,418,,1.0,,377,,379,,-0.5,,45.14,,20.6,,2209,,85,
2021-01-01,Sally's Cove,2021A00051009037,349,15,,20,,-25.0,,29,,30,,-3.3,,10,,12,,-16.7,,4.61,,3.3,,4694,,363,
2021-01-01,St. Anthony,2021A00051009029,350,2180,,2258,,-3.5,,1036,,1040,,-0.4,,924,,920,,0.4,,37.46,,58.2,,1309,,35,
2021-01-01,St. Lunaire-Griquet,2021A00051009032,351,603,,604,,-0.2,,302,,267,,13.1,,258,,245,,5.3,,17.29,,34.9,,2711,,124,
2021-01-01,St. Pauls,2021A00051009020,352,202,,238,,-15.1,,101,,111,,-9.0,,91,,96,,-5.2,,6.34,,31.9,,3862,,263,
2021-01-01,Trout River,2021A00051009010,353,508,,552,,-8.0,,275,,276,,-0.4,,210,,221,,-5.0,,5.83,,87.1,,2920,,155,
2021-01-01,"Woody Point, Bonne Bay",2021A00051009011,354,244,,282,,-13.5,,207,,225,,-8.0,,129,,135,,-4.4,,3.78,,64.5,,3703,,245,
2021-01-01,Division No. 10,2021A00031010,355,24332,,24639,,-1.2,,10941,,10758,,1.7,,9518,,9193,,3.5,,191691.09,,0.1,,196,,6,
2021-01-01,"Cartwright, Labrador",2021A00051010012,356,439,,427,,2.8,,243,,221,,10.0,,204,,188,,8.5,,5.87,,74.8,,3081,,169,
2021-01-01,Charlottetown (Labrador),2021A00051010013,357,292,,290,,0.7,,140,,128,,9.4,,113,,109,,3.7,,26.47,,11.0,,3535,,224,
2021-01-01,"Division No. 10, Subd. A",2021A00051010001,358,55,,61,,-9.8,,31,,38,,-18.4,,30,,28,,7.1,,3673.46,,0.0,,4482,,346,
2021-01-01,"Division No. 10, Subd. B",2021A00051010008,359,211,,369,,-42.8,,206,,242,,-14.9,,88,,133,,-33.8,,35501.56,,0.0,,3831,,258,
2021-01-01,"Division No. 10, Subd. C",2021A00051010020,360,54,,71,r,-23.9,,45,,47,r,-4.3,,26,,29,r,-10.3,,62096.93,,0.0,,4496,,350,
2021-01-01,"Division No. 10, Subd. D",2021A00051010029,361,732,,705,,3.8,,556,,369,,50.7,,277,,249,,11.2,,64922.38,,0.0,,2469,,102,
2021-01-01,"Division No. 10, Subd. E",2021A00051010042,362,0,,0,,,...,0,,0,,,...,0,,0,,,...,24865.49,,0.0,,4831,,366,
2021-01-01,Forteau,2021A00051010005,363,377,,409,,-7.8,,181,,193,,-6.2,,161,,171,,-5.8,,7.50,,50.3,,3255,,191,
2021-01-01,Happy Valley-Goose Bay,2021A00051010025,364,8040,,8109,,-0.9,,3390,,3271,,3.6,,3072,,3031,,1.4,,304.52,,26.4,,511,,9,
