REF_DATE,GEO,DGUID,Coordinate,"Population and dwelling counts (13): Population, 2021 [1]",Symbols,"Population and dwelling counts (13): Population, 2016 [2]",Symbols.1,"Population and dwelling counts (13): Population percentage change, 2016 to 2021 [3]",Symbols.2,"Population and dwelling counts (13): Total private dwellings, 2021 [4]",Symbols.3,"Population and dwelling counts (13): Total private dwellings, 2016 [5]",Symbols.4,"Population and dwelling counts (13): Total private dwellings percentage change, 2016 to 2021 [6]",Symbols.5,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2021 [7]",Symbols.6,"Population and dwelling counts (13): Private dwellings occupied by usual residents, 2016 [8]",Symbols.7,"Population and dwelling counts (13): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]",Symbols.8,"Population and dwelling counts (13): Land area in square kilometres, 2021 [10]",Symbols.9,"Population and dwelling counts (13): Population density per square kilometre, 2021 [11]",Symbols.10,"Population and dwelling counts (13): National population rank, 2021 [12]",Symbols.11,"Population and dwelling counts (13): Province/territory population rank, 2021 [13]",Symbols.12
2021-01-01,Queens,2021A00031304,770,10998,,10472,,5.0,,6854,,7289,,-6.0,,5133,,4877,,5.2,,3681.05,,3.0,,266,,15,
2021-01-01,Brunswick,2021A00051304016,771,224,,203,,10.3,,193,,159,,21.4,,111,,88,,26.1,,703.20,,0.3,,3773,,250,
2021-01-01,Cambridge,2021A00051304011,772,684,,647,,5.7,,478,,617,,-22.5,,287,,260,,10.4,,113.17,,6.0,,2556,,198,
2021-01-01,Cambridge-Narrows,2021A00051304013,773,715,,562,,27.2,,629,,659,,-4.6,,345,,286,,20.6,,106.79,,6.7,,2494,,193,
2021-01-01,Canning,2021A00051304021,774,1028,,924,,11.3,,850,,755,,12.6,,511,,447,,14.3,,173.25,,5.9,,2079,,148,
2021-01-01,Chipman,2021A00051304024,775,853,,913,,-6.6,,504,,541,,-6.8,,421,,430,,-2.1,,483.45,,1.8,,2302,,175,
2021-01-01,Chipman,2021A00051304025,776,1201,,1104,,8.8,,647,,638,,1.4,,605,,573,,5.6,,19.00,,63.2,,1894,,129,
2021-01-01,Gagetown,2021A00051304004,777,324,,311,,4.2,,149,,155,,-3.9,,144,,138,,4.3,,234.58,,1.4,,3435,,236,
2021-01-01,Gagetown,2021A00051304005,778,787,,711,,10.7,,341,,339,,0.6,,315,,300,,5.0,,49.32,,16.0,,2387,,181,
2021-01-01,Hampstead,2021A00051304006,779,288,,277,,4.0,,167,,185,,-9.7,,130,,123,,5.7,,212.39,,1.4,,3550,,243,
2021-01-01,Johnston,2021A00051304014,780,638,,560,,13.9,,384,,392,,-2.0,,294,,262,,12.2,,360.87,,1.8,,2648,,202,
2021-01-01,Minto,2021A00051304022,781,2234,,2305,,-3.1,,1145,,1170,,-2.1,,1043,,1082,,-3.6,,31.36,,71.2,,1289,,63,
2021-01-01,Petersville,2021A00051304001,782,710,,681,,4.3,,323,,325,,-0.6,,305,,294,,3.7,,589.95,,1.2,,2502,,194,
2021-01-01,Waterborough,2021A00051304018,783,903,,847,,6.6,,661,,885,,-25.3,,419,,406,,3.2,,443.16,,2.0,,2242,,167,
2021-01-01,Wickham,2021A00051304008,784,409,,427,,-4.2,,383,,469,,-18.3,,203,,188,,8.0,,160.54,,2.5,,3154,,223,
2021-01-01,Restigouche,2021A00031314,785,30700,,30955,,-0.8,,15288,,15259,,0.2,,14165,,13993,,1.2,,8566.82,,3.6,,180,,10,
2021-01-01,Addington,2021A00051314012,786,698,,656,,6.4,,354,,333,,6.3,,326,,310,,5.2,,933.00,,0.7,,2530,,196,
2021-01-01,Atholville,2021A00051314013,787,3290,,3570,,-7.8,,1550,,1584,,-2.1,,1490,,1539,,-3.2,,119.58,,27.5,,975,,46,
2021-01-01,Balmoral,2021A00051314005,788,309,,278,,11.2,,131,,120,,9.2,,121,,114,,6.1,,1088.01,,0.3,,3483,,241,
2021-01-01,Balmoral,2021A00051314006,789,1603,,1674,,-4.2,,713,,720,,-1.0,,687,,698,,-1.6,,43.33,,37.0,,1595,,94,
2021-01-01,Belledune,2021A00051314025,790,1325,,1417,,-6.5,,782,,883,,-11.4,,688,,701,,-1.9,,189.18,,7.0,,1792,,117,
2021-01-01,Campbellton,2021A00051314014,791,7047,,6883,,2.4,,3531,,3443,,2.6,,3254,,3120,,4.3,,18.57,,379.5,,582,,16,
2021-01-01,Charlo,2021A00051314004,792,1323,,1310,,1.0,,724,,719,,0.7,,632,,624,,1.3,,31.45,,42.1,,1794,,119,
2021-01-01,Colborne,2021A00051314003,793,266,,227,,17.2,,162,,144,,12.5,,135,,121,,11.6,,753.38,,0.4,,3624,,248,
2021-01-01,Dalhousie,2021A00051314008,794,1090,,1067,,2.2,,551,,531,,3.8,,497,,483,,2.9,,62.62,,17.4,,2008,,139,
2021-01-01,Dalhousie,2021A00051314017,795,3223,,3126,,3.1,,1678,,1696,,-1.1,,1523,,1515,,0.5,,15.12,,213.1,,993,,47,
2021-01-01,Durham,2021A00051314001,796,950,,1076,,-11.7,,563,,592,,-4.9,,499,,524,,-4.8,,409.78,,2.3,,2179,,157,
2021-01-01,Eel River 3,2021A00051314010,797,342,,329,,4.0,,157,,146,,7.5,,149,,143,,4.2,,1.45,,235.9,,3374,,234,
2021-01-01,Eel River Crossing,2021A00051314011,798,1844,,1953,,-5.6,,887,,893,,-0.7,,839,,850,,-1.3,,65.26,,28.3,,1446,,84,
2021-01-01,Eldon,2021A00051314016,799,674,,672,r,0.3,,369,,367,r,0.5,,335,,337,r,-0.6,,1688.58,,0.4,,2577,,199,
2021-01-01,Indian Ranch,2021A00051314026,800,134,,89,,50.6,,49,,37,,32.4,,49,,35,,40.0,,0.58,,232.2,,4120,,253,
2021-01-01,Kedgwick,2021A00051314020,801,1986,,1964,r,1.1,,951,,949,r,0.2,,913,,880,r,3.8,,649.36,,3.1,,1388,,78,
2021-01-01,Saint-Quentin,2021A00051314021,802,1504,,1532,,-1.8,,688,,696,,-1.1,,633,,629,,0.6,,2474.01,,0.6,,1662,,103,
2021-01-01,Saint-Quentin,2021A00051314022,803,2141,,2194,,-2.4,,1015,,989,,2.6,,976,,965,,1.1,,4.24,,504.7,,1324,,69,
2021-01-01,Tide Head,2021A00051314015,804,951,,938,,1.4,,433,,417,,3.8,,419,,405,,3.5,,19.34,,49.2,,2177,,156,
2021-01-01,Saint John,2021A00031301,805,76558,,74020,,3.4,,36964,,36825,,0.4,,34634,,32852,,5.4,,1461.05,,52.4,,87,,4,
2021-01-01,Musquash,2021A00051301016,806,1253,,1194,,4.9,,594,,600,,-1.0,,531,,508,,4.5,,233.06,,5.4,,1843,,125,
2021-01-01,Saint John,2021A00051301006,807,69895,,67575,,3.4,,33908,,33801,,0.3,,31825,,30208,,5.4,,315.59,,221.5,,84,,2,
2021-01-01,Saint Martins,2021A00051301001,808,1177,,1132,,4.0,,597,,609,,-2.0,,533,,480,,11.0,,629.00,,1.9,,1924,,133,
2021-01-01,Simonds,2021A00051301004,809,3913,,3843,,1.8,,1671,,1617,,3.3,,1588,,1516,,4.7,,281.06,,13.9,,875,,39,
2021-01-01,St. Martins,2021A00051301002,810,320,,276,,15.9,,194,,198,,-2.0,,157,,140,,12.1,,2.35,,136.1,,3442,,237,
2021-01-01,Sunbury,2021A00031303,811,27864,,27644,,0.8,,11903,,11853,,0.4,,11310,,10898,,3.8,,2692.97,,10.3,,187,,11,
2021-01-01,Blissville,2021A00051303001,812,777,,819,,-5.1,,369,,378,,-2.4,,337,,349,,-3.4,,341.74,,2.3,,2400,,182,
2021-01-01,Burton,2021A00051303011,813,5176,,5119,,1.1,,2074,,2020,,2.7,,2002,,1962,,2.0,,258.39,,20.0,,714,,23,
2021-01-01,Fredericton Junction,2021A00051303006,814,719,,704,,2.1,,304,,298,,2.0,,292,,282,,3.5,,23.85,,30.1,,2488,,190,
2021-01-01,Gladstone,2021A00051303004,815,486,,452,,7.5,,227,,239,,-5.0,,204,,192,,6.3,,362.08,,1.3,,2978,,218,
2021-01-01,Lincoln,2021A00051303008,816,7519,,7177,,4.8,,3152,,3019,,4.4,,3088,,2936,,5.2,,159.44,,47.2,,544,,15,
2021-01-01,Maugerville,2021A00051303016,817,1772,,1831,,-3.2,,726,,765,,-5.1,,711,,731,,-2.7,,919.94,,1.9,,1495,,87,
2021-01-01,Northfield,2021A00051303018,818,577,,620,,-6.9,,286,,327,,-12.5,,262,,283,,-7.4,,303.27,,1.9,,2762,,206,
2021-01-01,Oromocto,2021A00051303012,819,9045,,9223,,-1.9,,3897,,3900,,-0.1,,3663,,3459,,5.9,,22.36,,404.5,,462,,13,
2021-01-01,Oromocto 26,2021A00051303013,820,295,,282,,4.6,,111,,103,,7.8,,108,,100,,8.0,,1.18,,249.6,,3525,,242,
2021-01-01,Sheffield,2021A00051303014,821,888,,809,,9.8,,499,,542,,-7.9,,392,,357,,9.8,,271.29,,3.3,,2261,,169,
2021-01-01,Tracy,2021A00051303005,822,610,,608,,0.3,,258,,262,,-1.5,,251,,247,,1.6,,29.44,,20.7,,2697,,204,
2021-01-01,Victoria,2021A00031312,823,18312,,18617,,-1.6,,9054,,9178,,-1.4,,8249,,8159,,1.1,,5492.85,,3.3,,234,,14,
2021-01-01,Andover,2021A00051312001,824,879,,891,,-1.3,,387,,407,,-4.9,,364,,367,,-0.8,,123.42,,7.1,,2268,,170,
2021-01-01,Aroostook,2021A00051312002,825,313,,306,,2.3,,163,,165,,-1.2,,148,,143,,3.5,,2.23,,140.2,,3465,,239,
2021-01-01,Denmark,2021A00051312014,826,1424,,1471,,-3.2,,677,,733,,-7.6,,621,,632,,-1.7,,751.08,,1.9,,1717,,109,
2021-01-01,Drummond,2021A00051312021,827,2095,,2157,,-2.9,,899,,938,,-4.2,,867,,845,,2.6,,1013.66,,2.1,,1340,,71,
2021-01-01,Drummond,2021A00051312023,828,729,,737,,-1.1,,350,,350,,0.0,,335,,325,,3.1,,8.88,,82.1,,2473,,189,
2021-01-01,Gordon,2021A00051312008,829,1559,,1493,,4.4,,776,,786,,-1.3,,694,,664,,4.5,,1430.19,,1.1,,1630,,100,
2021-01-01,Grand Falls,2021A00051312016,830,1077,,1109,,-2.9,,488,,506,,-3.6,,451,,461,,-2.2,,158.09,,6.8,,2020,,142,
2021-01-01,Grand Falls / Grand-Sault,2021A00051312019,831,5220,,5326,,-2.0,,2639,,2622,,0.6,,2495,,2467,,1.1,,18.04,,289.3,,709,,22,
2021-01-01,Lorne,2021A00051312011,832,313,,464,,-32.5,,337,,407,,-17.2,,172,,227,,-24.2,,1632.21,,0.2,,3465,,239,
2021-01-01,Perth,2021A00051312004,833,1047,,1082,,-3.2,,560,,575,,-2.6,,473,,463,,2.2,,318.10,,3.3,,2056,,146,
2021-01-01,Perth-Andover,2021A00051312006,834,1574,,1590,,-1.0,,785,,769,,2.1,,744,,717,,3.8,,8.96,,175.6,,1619,,98,
2021-01-01,Plaster Rock,2021A00051312009,835,1002,,1023,,-2.1,,515,,531,,-3.0,,476,,473,,0.6,,3.01,,332.9,,2107,,150,
2021-01-01,Tobique 20,2021A00051312007,836,1080,,968,,11.6,,478,,389,,22.9,,409,,375,,9.1,,24.98,,43.2,,2016,,141,
2021-01-01,Westmorland,2021A00031307,837,163576,,149623,,9.3,,75506,,71839,,5.1,,70090,,64038,,9.5,,3659.74,,44.7,,39,,1,
2021-01-01,Beaubassin East / Beaubassin-est,2021A00051307005,838,6718,,6376,,5.4,,3368,,3388,,-0.6,,2855,,2679,,6.6,,291.02,,23.1,,600,,17,
2021-01-01,Botsford,2021A00051307004,839,1120,,1058,,5.9,,978,,1045,,-6.4,,546,,491,,11.2,,304.62,,3.7,,1979,,138,
2021-01-01,Cap-Pelé,2021A00051307007,840,2441,,2425,,0.7,,1144,,1078,,6.1,,1011,,951,,6.3,,22.96,,106.3,,1215,,59,
2021-01-01,Dieppe,2021A00051307045,841,28114,,25384,,10.8,,11993,,10829,,10.7,,11570,,10288,,12.5,,77.02,,365.0,,167,,4,
2021-01-01,Dorchester,2021A00051307011,842,438,,429,,2.1,,207,,215,,-3.7,,196,,188,,4.3,,90.13,,4.9,,3083,,220,
2021-01-01,Dorchester,2021A00051307012,843,906,,1096,,-17.3,,221,,235,,-6.0,,207,,199,,4.0,,5.71,,158.7,,2236,,166,
2021-01-01,Fort Folly 1,2021A00051307014,844,36,,40,,-10.0,,22,,22,,0.0,,21,,21,,0.0,,0.55,,65.2,,4574,,259,
2021-01-01,Memramcook,2021A00051307013,845,5029,,4778,,5.3,,2147,,2119,,1.3,,2081,,1979,,5.2,,186.64,,26.9,,733,,26,
2021-01-01,Moncton,2021A00051307019,846,10704,,9811,,9.1,,4291,,4036,,6.3,,4190,,3878,,8.0,,564.16,,19.0,,406,,12,
2021-01-01,Moncton,2021A00051307022,847,79470,,71889,,10.5,,37318,,35380,,5.5,,35118,,32135,,9.3,,140.67,,564.9,,74,,1,
2021-01-01,Petitcodiac,2021A00051307029,848,1476,,1383,,6.7,,630,,619,,1.8,,609,,573,,6.3,,17.18,,85.9,,1678,,105,
2021-01-01,Port Elgin,2021A00051307002,849,381,,408,,-6.6,,170,,196,,-13.3,,161,,169,,-4.7,,2.65,,144.0,,3242,,227,
2021-01-01,Sackville,2021A00051307008,850,1204,,1182,,1.9,,549,,553,,-0.7,,497,,495,,0.4,,578.90,,2.1,,1889,,128,
2021-01-01,Sackville,2021A00051307009,851,6099,,5331,,14.4,,3047,,3010,,1.2,,2689,,2313,,16.3,,73.91,,82.5,,642,,19,
2021-01-01,Salisbury,2021A00051307024,852,3377,,3388,,-0.3,,1432,,1430,,0.1,,1353,,1340,,1.0,,874.00,,3.9,,954,,43,
2021-01-01,Salisbury,2021A00051307028,853,2387,,2284,,4.5,,996,,974,,2.3,,972,,928,,4.7,,13.56,,176.1,,1233,,60,
2021-01-01,Shediac,2021A00051307016,854,5144,,4789,,7.4,,2976,,2973,,0.1,,2302,,2103,,9.5,,178.79,,28.8,,716,,24,
2021-01-01,Shediac,2021A00051307052,855,7535,,6664,,13.1,,3447,,3141,,9.7,,3293,,2895,,13.7,,64.00,,117.7,,542,,14,
2021-01-01,Westmorland,2021A00051307001,856,997,,908,,9.8,,570,,596,,-4.4,,419,,413,,1.5,,173.27,,5.8,,2112,,151,
2021-01-01,York,2021A00031310,857,105261,,99453,r,5.8,,48294,,46870,r,3.0,,45259,,42024,r,7.7,,8095.10,,13.0,,61,,2,
2021-01-01,Bright,2021A00051310026,858,3317,,3289,,0.9,,1477,,1440,,2.6,,1348,,1292,,4.3,,403.73,,8.2,,971,,44,
2021-01-01,Canterbury,2021A00051310011,859,552,,525,,5.1,,419,,456,,-8.1,,248,,223,,11.2,,550.70,,1.0,,2808,,208,
2021-01-01,Canterbury,2021A00051310012,860,320,,336,,-4.8,,142,,152,,-6.6,,135,,131,,3.1,,5.32,,60.2,,3442,,237,
2021-01-01,Devon 30,2021A00051310034,861,1070,,1038,,3.1,,365,,323,,13.0,,355,,318,,11.6,,2.72,,393.4,,2031,,144,
2021-01-01,Douglas,2021A00051310028,862,5935,,5703,r,4.1,,2357,,2368,r,-0.5,,2270,,2195,r,3.4,,1443.31,,4.1,,657,,20,
2021-01-01,Dumfries,2021A00051310014,863,420,,356,,18.0,,304,,334,,-9.0,,208,,171,,21.6,,298.51,,1.4,,3113,,222,
2021-01-01,Fredericton,2021A00051310032,864,63116,,58721,r,7.5,,29892,,28632,r,4.4,,28478,,26147,r,8.9,,133.93,,471.3,,90,,3,
2021-01-01,Hanwell,2021A00051310017,865,4743,,4700,r,0.9,,1887,,1833,r,2.9,,1799,,1720,r,4.6,,152.06,,31.2,,766,,31,
2021-01-01,Harvey,2021A00051310005,866,402,,358,,12.3,,176,,158,,11.4,,171,,150,,14.0,,2.46,,163.5,,3172,,224,
2021-01-01,Kingsclear,2021A00051310018,867,2839,,2822,,0.6,,1104,,1069,,3.3,,1086,,1043,,4.1,,150.11,,18.9,,1088,,50,
2021-01-01,Kingsclear 6,2021A00051310019,868,518,,493,,5.1,,209,,186,,12.4,,195,,185,,5.4,,3.79,,136.6,,2894,,213,
2021-01-01,Manners Sutton,2021A00051310004,869,1920,,1777,,8.0,,1067,,1123,,-5.0,,861,,762,,13.0,,524.75,,3.7,,1416,,82,
2021-01-01,McAdam,2021A00051310006,870,1173,,1151,,1.9,,600,,618,,-2.9,,534,,520,,2.7,,14.19,,82.7,,1928,,134,
2021-01-01,McAdam,2021A00051310007,871,61,,73,,-16.4,,45,,63,,-28.6,,32,,34,,-5.9,,534.77,,0.1,,4451,,258,
2021-01-01,Meductic,2021A00051310013,872,180,,215,r,-16.3,,93,,93,r,0.0,,83,,83,r,0.0,,6.26,,28.7,,3931,,251,
2021-01-01,Millville,2021A00051310025,873,274,,273,,0.4,,145,,152,,-4.6,,135,,122,,10.7,,12.14,,22.6,,3600,,247,
2021-01-01,Nackawic,2021A00051310054,874,962,,941,,2.2,,451,,455,,-0.9,,428,,419,,2.1,,7.68,,125.2,,2158,,155,
2021-01-01,New Maryland,2021A00051310001,875,2806,,2606,,7.7,,1057,,998,,5.9,,1042,,975,,6.9,,375.02,,7.5,,1096,,51,
2021-01-01,New Maryland,2021A00051310002,876,4153,,4174,,-0.5,,1550,,1513,,2.4,,1529,,1499,,2.0,,21.25,,195.4,,833,,38,
2021-01-01,North Lake,2021A00051310008,877,282,,233,,21.0,,383,,387,,-1.0,,160,,116,,37.9,,439.60,,0.6,,3568,,244,
2021-01-01,Prince William,2021A00051310016,878,1083,,930,,16.5,,648,,672,,-3.6,,479,,412,,16.3,,284.39,,3.8,,2015,,140,
2021-01-01,Queensbury,2021A00051310021,879,1237,,1174,,5.4,,579,,587,,-1.4,,536,,514,,4.3,,294.35,,4.2,,1862,,126,
2021-01-01,Saint Marys,2021A00051310031,880,5084,,4837,,5.1,,2030,,1944,,4.4,,1954,,1866,,4.7,,751.90,,6.8,,721,,25,
2021-01-01,Southampton,2021A00051310024,881,1497,,1484,,0.9,,699,,719,,-2.8,,641,,624,,2.7,,446.85,,3.4,,1665,,104,
2021-01-01,Stanley,2021A00051310036,882,920,,832,,10.6,,433,,413,,4.8,,388,,343,,13.1,,1218.38,,0.8,,2220,,163,
2021-01-01,Stanley,2021A00051310037,883,397,,412,,-3.6,,182,,182,,0.0,,164,,160,,2.5,,16.93,,23.5,,3189,,226,
2021-01-01,Quebec,2021A000224,884,8501833,,8164361,,4.1,,4050164,,3858943,,5.0,,3749035,,3531663,,6.2,,1298599.75,,6.5,,,...,,...
2021-01-01,Abitibi,2021A00032488,885,24764,,24639,,0.5,,11784,,11374,,3.6,,10941,,10529,,3.9,,7627.63,,3.2,,194,,60,
2021-01-01,Amos,2021A00052488055,886,12675,,12823,,-1.2,,6051,,5910,,2.4,,5760,,5628,,2.3,,429.04,,29.5,,341,,90,
2021-01-01,Barraute,2021A00052488022,887,1986,,1968,,0.9,,1012,,953,,6.2,,930,,895,,3.9,,493.04,,4.0,,1388,,408,
2021-01-01,Berry,2021A00052488070,888,535,,538,,-0.6,,283,,264,,7.2,,232,,215,,7.9,,575.07,,0.9,,2859,,901,
2021-01-01,Champneuf,2021A00052488005,889,94,,123,,-23.6,,54,,55,,-1.8,,48,,53,,-9.4,,241.32,,0.4,,4290,,1152,
2021-01-01,La Corne,2021A00052488030,890,778,,719,,8.2,,382,,318,,20.1,,322,,294,,9.5,,308.13,,2.5,,2397,,767,
2021-01-01,La Morandière,2021A00052488015,891,205,,207,,-1.0,,111,,108,,2.8,,98,,96,,2.1,,407.35,,0.5,,3852,,1115,
2021-01-01,La Motte,2021A00052488045,892,478,,453,,5.5,,264,,256,,3.1,,222,,203,,9.4,,175.48,,2.7,,2989,,941,
2021-01-01,Lac-Chicobi,2021A00052488904,893,161,,136,,18.4,,81,,77,,5.2,,71,,63,,12.7,,716.01,,0.2,,4006,,1134,
2021-01-01,Lac-Despinassy,2021A00052488902,894,21,,10,,110.0,,12,,10,,20.0,,11,,8,,37.5,,1848.65,,0.0,,4652,,1174,
2021-01-01,Landrienne,2021A00052488035,895,897,,967,,-7.2,,410,,400,,2.5,,398,,388,,2.6,,275.93,,3.3,,2247,,709,
2021-01-01,Launay,2021A00052488080,896,211,,218,,-3.2,,99,,118,,-16.1,,97,,100,,-3.0,,257.80,,0.8,,3831,,1112,
2021-01-01,Pikogan,2021A00052488802,897,540,,538,,0.4,,165,,160,,3.1,,158,,159,,-0.6,,1.00,,537.4,,2848,,898,
2021-01-01,Preissac,2021A00052488090,898,914,,835,,9.5,,527,,521,,1.2,,430,,391,,10.0,,422.13,,2.2,,2229,,701,
2021-01-01,Rochebaucourt,2021A00052488010,899,146,,131,,11.5,,70,,70,,0.0,,66,,64,,3.1,,183.63,,0.8,,4075,,1140,
2021-01-01,Saint-Dominique-du-Rosaire,2021A00052488065,900,434,,450,,-3.6,,205,,197,,4.1,,193,,185,,4.3,,479.89,,0.9,,3093,,971,
2021-01-01,Saint-Félix-de-Dalquier,2021A00052488060,901,1026,,940,,9.1,,414,,397,,4.3,,405,,374,,8.3,,113.15,,9.1,,2082,,653,
2021-01-01,Saint-Marc-de-Figuery,2021A00052488040,902,868,,834,,4.1,,386,,356,,8.4,,352,,323,,9.0,,80.79,,10.7,,2283,,722,
2021-01-01,Saint-Mathieu-d'Harricana,2021A00052488050,903,770,,739,,4.2,,349,,332,,5.1,,318,,299,,6.4,,105.86,,7.3,,2410,,773,
2021-01-01,Sainte-Gertrude-Manneville,2021A00052488085,904,793,,787,,0.8,,325,,314,,3.5,,311,,305,,2.0,,316.46,,2.5,,2378,,757,
2021-01-01,Trécesson,2021A00052488075,905,1232,,1223,,0.7,,584,,558,,4.7,,519,,486,,6.8,,196.89,,6.3,,1867,,572,
2021-01-01,Abitibi-Ouest,2021A00032487,906,20526,,20538,,-0.1,,10082,,10053,,0.3,,9233,,9026,,2.3,,3312.45,,6.2,,221,,73,
2021-01-01,Authier,2021A00052487050,907,290,,268,,8.2,,134,,125,,7.2,,129,,113,,14.2,,142.22,,2.0,,3544,,1067,
2021-01-01,Authier-Nord,2021A00052487100,908,288,,300,,-4.0,,159,,164,,-3.0,,128,,121,,5.8,,278.05,,1.0,,3550,,1070,
2021-01-01,Chazel,2021A00052487095,909,254,,289,,-12.1,,131,,132,,-0.8,,118,,126,,-6.3,,133.55,,1.9,,3662,,1087,
2021-01-01,Clermont,2021A00052487110,910,484,,492,,-1.6,,218,,214,,1.9,,200,,194,,3.1,,156.66,,3.1,,2981,,936,
2021-01-01,Clerval,2021A00052487075,911,373,,371,,0.5,,291,,296,,-1.7,,180,,174,,3.4,,99.17,,3.8,,3265,,1015,
2021-01-01,Duparquet,2021A00052487005,912,716,,666,,7.5,,389,,389,,0.0,,342,,324,,5.6,,121.17,,5.9,,2492,,791,
2021-01-01,Dupuy,2021A00052487085,913,940,,931,,1.0,,414,,403,,2.7,,395,,394,,0.3,,122.43,,7.7,,2194,,688,
2021-01-01,Gallichan,2021A00052487020,914,488,,468,,4.3,,304,,292,,4.1,,229,,207,,10.6,,73.61,,6.6,,2972,,931,
2021-01-01,La Reine,2021A00052487080,915,307,,339,,-9.4,,164,,171,,-4.1,,142,,152,,-6.6,,97.63,,3.1,,3486,,1054,
2021-01-01,La Sarre,2021A00052487090,916,7358,,7282,,1.0,,3698,,3643,,1.5,,3493,,3409,,2.5,,148.36,,49.6,,564,,138,
2021-01-01,Lac-Duparquet,2021A00052487902,917,0,,0,,,...,0,,0,,,...,0,,0,,,...,113.66,,0.0,,4831,,1194,
2021-01-01,Macamic,2021A00052487058,918,2744,,2751,,-0.3,,1188,,1179,,0.8,,1142,,1089,,4.9,,202.05,,13.6,,1114,,302,
2021-01-01,Normétal,2021A00052487115,919,778,,808,,-3.7,,378,,415,,-8.9,,361,,376,,-4.0,,55.25,,14.1,,2397,,767,
2021-01-01,Palmarolle,2021A00052487025,920,1386,,1409,,-1.6,,649,,647,,0.3,,595,,577,,3.1,,117.87,,11.8,,1752,,533,
2021-01-01,Poularies,2021A00052487035,921,662,,682,,-2.9,,285,,288,,-1.0,,274,,270,,1.5,,168.19,,3.9,,2600,,828,
2021-01-01,Rapide-Danseur,2021A00052487010,922,380,,328,,15.9,,209,,195,,7.2,,161,,143,,12.6,,173.73,,2.2,,3246,,1008,
2021-01-01,Rivière-Ojima,2021A00052487904,923,60,,86,,-30.2,,39,,53,,-26.4,,32,,40,,-20.0,,354.47,,0.2,,4454,,1160,
2021-01-01,Roquemaure,2021A00052487015,924,409,,395,,3.5,,215,,215,,0.0,,185,,175,,5.7,,120.02,,3.4,,3154,,987,
2021-01-01,Saint-Lambert,2021A00052487120,925,191,,194,,-1.5,,95,,93,,2.2,,89,,87,,2.3,,99.81,,1.9,,3887,,1119,
2021-01-01,Sainte-Germaine-Boulé,2021A00052487030,926,941,,986,,-4.6,,398,,421,,-5.5,,384,,408,,-5.9,,110.04,,8.6,,2193,,687,
2021-01-01,Sainte-Hélène-de-Mancebourg,2021A00052487070,927,410,,373,,9.9,,185,,177,,4.5,,159,,154,,3.2,,68.15,,6.0,,3151,,986,
2021-01-01,Taschereau,2021A00052487042,928,898,,963,,-6.7,,460,,460,,0.0,,425,,425,,0.0,,246.97,,3.6,,2246,,708,
2021-01-01,Val-Saint-Gilles,2021A00052487105,929,169,,157,,7.6,,79,,81,,-2.5,,70,,68,,2.9,,109.39,,1.5,,3980,,1131,
2021-01-01,Acton,2021A00032448,930,15654,,15594,,0.4,,7185,,7101,,1.2,,6844,,6637,,3.1,,579.64,,27.0,,246,,85,
2021-01-01,Acton Vale,2021A00052448028,931,7605,,7656,,-0.7,,3628,,3594,,0.9,,3479,,3367,,3.3,,91.01,,83.6,,536,,132,
2021-01-01,Béthanie,2021A00052448005,932,350,,322,,8.7,,155,,153,,1.3,,142,,131,,8.4,,47.01,,7.4,,3347,,1026,
2021-01-01,Roxton,2021A00052448015,933,1115,,1086,,2.7,,483,,494,,-2.2,,445,,454,,-2.0,,148.93,,7.5,,1983,,611,
2021-01-01,Roxton Falls,2021A00052448010,934,1322,,1305,,1.3,,641,,613,,4.6,,615,,591,,4.1,,4.94,,267.7,,1795,,554,
2021-01-01,Saint-Nazaire-d'Acton,2021A00052448050,935,880,,884,,-0.5,,374,,371,,0.8,,361,,355,,1.7,,58.04,,15.2,,2267,,718,
2021-01-01,Saint-Théodore-d'Acton,2021A00052448045,936,1564,,1519,,3.0,,642,,630,,1.9,,620,,587,,5.6,,82.82,,18.9,,1626,,493,
2021-01-01,Sainte-Christine,2021A00052448020,937,772,,730,,5.8,,341,,334,,2.1,,313,,296,,5.7,,92.12,,8.4,,2406,,770,
2021-01-01,Upton,2021A00052448038,938,2046,,2092,,-2.2,,921,,912,,1.0,,869,,856,,1.5,,54.77,,37.4,,1364,,398,
2021-01-01,Antoine-Labelle,2021A00032479,939,36462,,35243,,3.5,,23909,,23399,,2.2,,17839,,16474,,8.3,,14809.85,,2.5,,160,,51,
2021-01-01,Baie-des-Chaloupes,2021A00052479920,940,0,,0,,,...,0,,0,,,...,0,,0,,,...,890.15,,0.0,,4831,,1194,
2021-01-01,Chute-Saint-Philippe,2021A00052479065,941,1039,,942,,10.3,,876,,854,,2.6,,513,,454,,13.0,,298.64,,3.5,,2064,,645,
2021-01-01,Ferme-Neuve,2021A00052479097,942,2716,,2706,,0.4,,1453,,1388,,4.7,,1276,,1215,,5.0,,786.19,,3.5,,1126,,307,
2021-01-01,Kiamika,2021A00052479025,943,790,,757,,4.4,,508,,508,,0.0,,391,,358,,9.2,,337.53,,2.3,,2380,,759,
2021-01-01,L'Ascension,2021A00052479050,944,899,,791,,13.7,,880,,877,,0.3,,488,,412,,18.4,,334.82,,2.7,,2243,,706,
